State,Year,Month,Drug Name,Death Count
AK,2016,January,Heroin ,35
AK,2016,January,Methadone,13
AK,2016,January,Opioids ,90
AK,2016,January,Prescription Opioids,214
AK,2016,February,Heroin ,37
AK,2016,February,Methadone,15
AK,2016,February,Opioids ,91
AK,2016,February,Prescription Opioids,217
AK,2016,March,Heroin ,38
AK,2016,March,Methadone,16
AK,2016,March,Opioids ,90
AK,2016,March,Prescription Opioids,205
AK,2016,April,Cocaine ,11
AK,2016,April,Heroin ,40
AK,2016,April,Methadone,18
AK,2016,April,Opioids ,95
AK,2016,April,Prescription Opioids,214
AK,2016,May,Cocaine ,11
AK,2016,May,Heroin ,44
AK,2016,May,Methadone,17
AK,2016,May,Opioids ,103
AK,2016,May,Prescription Opioids,221
AK,2016,June,Cocaine ,11
AK,2016,June,Heroin ,40
AK,2016,June,Methadone,20
AK,2016,June,Opioids ,102
AK,2016,June,Prescription Opioids,217
AK,2016,July,Cocaine ,13
AK,2016,July,Heroin ,42
AK,2016,July,Methadone,21
AK,2016,July,Opioids ,107
AK,2016,July,Prescription Opioids,221
AK,2016,August,Cocaine ,12
AK,2016,August,Heroin ,39
AK,2016,August,Methadone,19
AK,2016,August,Opioids ,100
AK,2016,August,Prescription Opioids,203
AK,2016,September,Cocaine ,11
AK,2016,September,Heroin ,37
AK,2016,September,Methadone,17
AK,2016,September,Opioids ,96
AK,2016,September,Prescription Opioids,194
AK,2016,October,Cocaine ,13
AK,2016,October,Heroin ,38
AK,2016,October,Methadone,15
AK,2016,October,Opioids ,94
AK,2016,October,Prescription Opioids,177
AK,2016,November,Cocaine ,15
AK,2016,November,Heroin ,45
AK,2016,November,Methadone,15
AK,2016,November,Opioids ,99
AK,2016,November,Prescription Opioids,174
AK,2016,December,Cocaine ,15
AK,2016,December,Heroin ,49
AK,2016,December,Methadone,14
AK,2016,December,Opioids ,96
AK,2016,December,Prescription Opioids,158
AK,2017,January,Cocaine ,15
AK,2017,January,Heroin ,50
AK,2017,January,Methadone,11
AK,2017,January,Opioids ,93
AK,2017,January,Prescription Opioids,151
AK,2017,February,Cocaine ,18
AK,2017,February,Heroin ,49
AK,2017,February,Opioids ,90
AK,2017,February,Prescription Opioids,139
AK,2017,March,Cocaine ,19
AK,2017,March,Heroin ,47
AK,2017,March,Opioids ,87
AK,2017,March,Prescription Opioids,136
AK,2017,April,Cocaine ,16
AK,2017,April,Heroin ,43
AK,2017,April,Opioids ,78
AK,2017,April,Prescription Opioids,121
AK,2017,May,Cocaine ,18
AK,2017,May,Heroin ,40
AK,2017,May,Methadone,10
AK,2017,May,Opioids ,81
AK,2017,May,Prescription Opioids,145
AK,2017,June,Cocaine ,20
AK,2017,June,Heroin ,42
AK,2017,June,Opioids ,85
AK,2017,June,Prescription Opioids,156
AK,2017,July,Cocaine ,20
AK,2017,July,Heroin ,44
AK,2017,July,Opioids ,91
AK,2017,July,Prescription Opioids,174
AK,2017,August,Cocaine ,21
AK,2017,August,Heroin ,46
AK,2017,August,Opioids ,99
AK,2017,August,Prescription Opioids,189
AK,2017,September,Cocaine ,22
AK,2017,September,Heroin ,46
AK,2017,September,Opioids ,106
AK,2017,September,Prescription Opioids,206
AK,2017,October,Cocaine ,20
AK,2017,October,Heroin ,46
AK,2017,October,Opioids ,103
AK,2017,October,Prescription Opioids,199
AK,2017,November,Cocaine ,17
AK,2017,November,Heroin ,38
AK,2017,November,Opioids ,97
AK,2017,November,Prescription Opioids,193
AK,2017,December,Cocaine ,18
AK,2017,December,Heroin ,36
AK,2017,December,Opioids ,100
AK,2017,December,Prescription Opioids,208
AK,2018,January,Cocaine ,16
AK,2018,January,Heroin ,36
AK,2018,January,Opioids ,100
AK,2018,January,Prescription Opioids,212
AK,2018,February,Cocaine ,14
AK,2018,February,Heroin ,37
AK,2018,February,Methadone,10
AK,2018,February,Opioids ,102
AK,2018,February,Prescription Opioids,220
AK,2018,March,Cocaine ,13
AK,2018,March,Heroin ,35
AK,2018,March,Methadone,10
AK,2018,March,Opioids ,101
AK,2018,March,Prescription Opioids,217
AK,2018,April,Cocaine ,15
AK,2018,April,Heroin ,36
AK,2018,April,Methadone,11
AK,2018,April,Opioids ,102
AK,2018,April,Prescription Opioids,221
AK,2018,May,Cocaine ,12
AK,2018,May,Heroin ,33
AK,2018,May,Opioids ,88
AK,2018,May,Prescription Opioids,185
AK,2018,June,Cocaine ,10
AK,2018,June,Heroin ,31
AK,2018,June,Methadone,10
AK,2018,June,Opioids ,85
AK,2018,June,Prescription Opioids,180
AK,2018,July,Heroin ,26
AK,2018,July,Opioids ,76
AK,2018,July,Prescription Opioids,162
AK,2018,August,Heroin ,24
AK,2018,August,Opioids ,73
AK,2018,August,Prescription Opioids,154
AK,2018,September,Heroin ,24
