,State,Year,Month,Drug Name,Death Count
0,AK,2016,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",68.0
1,AK,2016,April,Cocaine (T40.5),11.0
2,AK,2016,April,Number of Drug Overdose Deaths,132.0
3,AK,2016,April,Psychostimulants with abuse potential (T43.6),35.0
4,AK,2016,April,Number of Deaths,4262.0
5,AK,2016,April,Methadone (T40.3),18.0
6,AK,2016,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",75.0
7,AK,2016,April,Heroin (T40.1),40.0
8,AK,2016,April,"Opioids (T40.0-T40.4,T40.6)",95.0
9,AK,2016,April,Natural & semi-synthetic opioids (T40.2),60.0
10,AK,2016,April,Percent with drugs specified,93.9393939393939
11,AK,2016,April,"Synthetic opioids, excl. methadone (T40.4)",11.0
12,AK,2016,August,Heroin (T40.1),39.0
13,AK,2016,August,Methadone (T40.3),19.0
14,AK,2016,August,Psychostimulants with abuse potential (T43.6),41.0
15,AK,2016,August,Percent with drugs specified,96.3768115942029
16,AK,2016,August,Number of Deaths,4276.0
17,AK,2016,August,"Opioids (T40.0-T40.4,T40.6)",100.0
18,AK,2016,August,Cocaine (T40.5),12.0
19,AK,2016,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",64.0
20,AK,2016,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",72.0
21,AK,2016,August,"Synthetic opioids, excl. methadone (T40.4)",12.0
22,AK,2016,August,Natural & semi-synthetic opioids (T40.2),55.0
23,AK,2016,August,Number of Drug Overdose Deaths,138.0
24,AK,2016,December,Number of Drug Overdose Deaths,129.0
25,AK,2016,December,Natural & semi-synthetic opioids (T40.2),46.0
26,AK,2016,December,"Opioids (T40.0-T40.4,T40.6)",96.0
27,AK,2016,December,Number of Deaths,4355.0
28,AK,2016,December,Heroin (T40.1),49.0
29,AK,2016,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",59.0
30,AK,2016,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",53.0
31,AK,2016,December,Cocaine (T40.5),15.0
32,AK,2016,December,Psychostimulants with abuse potential (T43.6),53.0
33,AK,2016,December,Methadone (T40.3),14.0
34,AK,2016,December,"Synthetic opioids, excl. methadone (T40.4)",
35,AK,2016,December,Percent with drugs specified,99.22480620155041
36,AK,2016,February,Number of Drug Overdose Deaths,128.0
37,AK,2016,February,Psychostimulants with abuse potential (T43.6),31.0
38,AK,2016,February,Number of Deaths,4198.0
39,AK,2016,February,"Synthetic opioids, excl. methadone (T40.4)",12.0
40,AK,2016,February,Cocaine (T40.5),
41,AK,2016,February,"Opioids (T40.0-T40.4,T40.6)",91.0
42,AK,2016,February,Natural & semi-synthetic opioids (T40.2),61.0
43,AK,2016,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",68.0
44,AK,2016,February,Percent with drugs specified,91.40625
45,AK,2016,February,Methadone (T40.3),15.0
46,AK,2016,February,Heroin (T40.1),37.0
47,AK,2016,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",76.0
48,AK,2016,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",66.0
49,AK,2016,January,Natural & semi-synthetic opioids (T40.2),60.0
50,AK,2016,January,"Synthetic opioids, excl. methadone (T40.4)",13.0
51,AK,2016,January,Methadone (T40.3),13.0
52,AK,2016,January,Number of Deaths,4213.0
53,AK,2016,January,Number of Drug Overdose Deaths,126.0
54,AK,2016,January,Percent with drugs specified,90.4761904761905
55,AK,2016,January,"Opioids (T40.0-T40.4,T40.6)",90.0
56,AK,2016,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",75.0
57,AK,2016,January,Heroin (T40.1),35.0
58,AK,2016,January,Cocaine (T40.5),
59,AK,2016,January,Psychostimulants with abuse potential (T43.6),27.0
60,AK,2016,July,Psychostimulants with abuse potential (T43.6),39.0
61,AK,2016,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",78.0
